t,x,y,z,R,G,B,N_x,N_y,N_z,d,ath
196,232.7500,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
196,212.2500,214.0000,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
197,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
197,232.7500,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
197,210.0000,214.7500,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
201,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
201,232.7500,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
201,210.0000,214.7500,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
203,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
203,232.7500,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
203,210.0000,214.7500,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
205,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
205,232.5000,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
205,209.7500,214.7500,50.0000,2,100,252,0.3005,0.6654,-0.6834,247.1862,133.1086
206,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
206,232.7500,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
206,210.0000,214.7500,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
214,314.7500,156.5000,50.0000,2,100,252,-0.1046,0.3922,-0.9139,515.0010,156.0500
214,244.5000,185.5000,50.0000,2,100,252,0.1424,0.6892,-0.7105,524.4778,135.2717
214,219.5000,210.5000,50.0000,2,100,252,0.2790,0.6613,-0.6963,265.0075,134.1282
221,312.7500,157.7500,50.0000,2,100,252,-0.1020,0.3824,-0.9183,523.6841,156.6846
221,244.5000,185.5000,50.0000,2,100,252,0.1424,0.6892,-0.7105,524.4778,135.2717
221,217.5000,211.7500,50.0000,2,100,252,0.2858,0.6645,-0.6905,265.0075,133.6663
226,316.5000,179.0000,50.0000,2,100,252,-0.0619,0.3325,-0.9411,599.8166,160.2336
226,271.7500,198.5000,50.0000,2,100,252,0.2095,0.6742,-0.7082,441.9276,135.0884
226,258.2500,215.7500,50.0000,2,100,252,0.3150,0.3191,-0.8938,254.2931,153.3588
230,316.5000,153.7500,50.0000,2,100,252,-0.0996,0.4222,-0.9010,505.0010,154.2945
230,244.2500,184.7500,50.0000,2,100,252,0.1446,0.7001,-0.6992,524.2414,134.3665
230,221.7500,209.2500,50.0000,2,100,252,0.2736,0.6587,-0.7009,265.0075,134.4977
232,304.5000,158.7500,50.0000,2,100,252,-0.0751,0.4464,-0.8917,532.0677,153.0855
232,233.0000,187.7500,50.0000,2,100,252,0.1664,0.7167,-0.6772,502.0966,132.6290
232,210.0000,214.7500,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
238,304.5000,158.5000,50.0000,3,100,251,-0.0721,0.4528,-0.8887,532.2828,152.7059
238,233.0000,187.7500,50.0000,3,100,251,0.1664,0.7167,-0.6772,502.0966,132.6290
238,210.0000,214.7500,50.0000,3,100,251,0.2999,0.6640,-0.6850,246.5847,133.2341
239,304.5000,158.5000,50.0000,3,100,251,-0.0721,0.4528,-0.8887,532.2828,152.7059
239,233.0000,187.7500,50.0000,3,100,251,0.1664,0.7167,-0.6772,502.0966,132.6290
239,210.0000,214.7500,50.0000,3,100,251,0.2999,0.6640,-0.6850,246.5847,133.2341
244,304.5000,158.5000,50.0000,3,100,251,-0.0721,0.4528,-0.8887,532.2828,152.7059
244,236.0000,187.5000,50.0000,3,100,251,0.1664,0.7167,-0.6772,502.0966,132.6290
244,214.7500,214.0000,50.0000,3,100,251,0.2939,0.6508,-0.7001,238.8661,134.4347
246,304.5000,158.5000,50.0000,3,100,251,-0.0721,0.4528,-0.8887,532.2828,152.7059
246,236.0000,187.5000,50.0000,3,100,251,0.1664,0.7167,-0.6772,502.0966,132.6290
246,214.7500,214.0000,50.0000,3,100,251,0.2939,0.6508,-0.7001,238.8661,134.4347
248,314.7500,156.5000,50.0000,3,100,251,-0.1046,0.3922,-0.9139,515.0010,156.0500
248,247.5000,185.2500,50.0000,3,100,251,0.1424,0.6892,-0.7105,524.4778,135.2717
248,224.2500,209.7500,50.0000,3,100,251,0.2738,0.6491,-0.7097,256.7879,135.2128
259,314.0000,156.5000,50.0000,3,100,251,-0.1028,0.3984,-0.9114,515.0010,155.7010
259,246.7500,185.2500,50.0000,3,100,251,0.1449,0.6916,-0.7076,521.7681,135.0400
259,224.2500,209.7500,50.0000,3,100,251,0.2738,0.6491,-0.7097,256.7879,135.2128
